raca,sexo,faixaEtaria,CO_MUNICIPIO_ESC,depAdminEsc,TP_ESCOLA,educMae,ocupPai,pessoasResid,rendFam,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_REDACAO,raca2,tpEscola,media,rendFamP
Parda,M,< 23,,,1,17,G2,6,3300,426.7,390.7,466.4,444.9,480,PPI,,432.175,550
Branca,M,< 23,,,1,12,G2,2,2750,,,,,,Branca,,,1375
Branca,M,< 23,3507001,Privada,3,12,G4,4,3300,678.1,561.4,556.4,566.5,560,Branca,Privada,590.6,825
Branca,M,< 23,3550902,Privada,3,16,G5,4,6600,648.1,558.6,581.1,564.1,800,Branca,Privada,587.975,1650
Branca,F,31-50,,,1,2,G2,4,2200,,,,,,Branca,,,550
Branca,F,< 23,3550308,Privada,3,12,G4,3,11000,,,,,,Branca,Privada,,3666.66666666667
Branca,M,< 23,3543402,Privada,3,17,G5,3,30000,620.8,412.8,603.9,538.1,740,Branca,Privada,543.9,10000
Branca,F,< 23,,,1,16,G4,4,2750,595.1,540,605.5,524.9,720,Branca,,566.375,687.5
Parda,F,< 23,,,1,12,G1,1,2200,498.4,572.7,586.5,583.7,640,PPI,,560.325,2200
Branca,F,< 23,,,1,12,G4,4,8800,658,562.9,406.6,427.6,860,Branca,,513.775,2200
Parda,F,< 23,,,1,12,G4,4,6600,633.5,574.7,499.6,554.1,900,PPI,,565.475,1650
Parda,M,< 23,,,1,12,G2,3,1650,455.4,523.5,521.7,374.3,580,PPI,,468.725,550
Branca,F,< 23,,,1,17,G5,4,30000,813.8,621.9,664,649.3,880,Branca,,687.25,7500
Branca,F,24-30,,,1,12,G4,4,3300,765.3,606.5,757.1,720,940,Branca,,712.225,825
Branca,F,< 23,3550308,Estadual,2,12,G3,2,1650,,,,,,Branca,Publica,,825
Branca,M,31-50,,,1,12,G4,2,1650,408.6,521.2,652.9,600.5,880,Branca,,545.8,825
Amarela,M,< 23,3550308,Privada,3,5,G3,4,2200,517.5,457.9,496.7,561.3,560,Branca,Privada,508.35,550
Parda,F,< 23,,,2,12,G3,4,3300,430.7,423.1,493,547.5,660,PPI,Publica,473.575,825
Branca,F,< 23,3550308,Estadual,2,12,G2,8,1100,449.2,511.1,445.4,362.9,420,Branca,Publica,442.15,137.5
Parda,M,24-30,,,1,12,NS,1,1100,,,,,,PPI,,,1100
Branca,F,> 50,,,1,2,G2,3,2200,,,,,,Branca,,,733.333333333333
Parda,M,< 23,3541406,Estadual,2,9,G3,4,2750,729.1,570.1,610.7,566.6,620,PPI,Publica,619.125,687.5
Amarela,F,24-30,,,1,2,G2,4,1100,,,,,,Branca,,,275
Branca,F,< 23,3511102,Estadual,2,9,G3,4,1650,,505.6,439.1,,0,Branca,Publica,,412.5
Parda,F,24-30,,,1,0,G4,3,6600,,,,,,PPI,,,2200
Parda,F,< 23,3547809,Estadual,2,5,NS,7,2750,636.3,513.6,538.4,522,680,PPI,Publica,552.575,392.857142857143
Branca,F,< 23,3530706,Privada,3,16,G3,4,4400,719.1,640,609.2,647.4,680,Branca,Privada,653.925,1100
Preta,M,< 23,,,1,9,G2,5,1650,,445.3,362.2,,560,PPI,,,330
Branca,F,< 23,,,2,2,G3,4,1650,416.1,464.3,464.9,459.7,560,Branca,Publica,451.25,412.5
Branca,F,< 23,3550308,Privada,3,12,G4,3,13200,743.1,664.7,710.7,648.3,840,Branca,Privada,691.7,4400
Branca,M,< 23,3538006,Privada,3,17,G5,3,30000,823.5,630.2,707.5,602.3,880,Branca,Privada,690.875,10000
Parda,F,< 23,,,2,12,G4,4,1650,459.9,506.5,494.2,436.3,580,PPI,Publica,474.225,412.5
Branca,F,< 23,,,1,12,G2,5,2200,,,,,,Branca,,,440
Branca,F,< 23,,,1,12,G3,4,5500,577,633.7,605.6,575.2,880,Branca,,597.875,1375
Parda,F,< 23,,,1,5,G1,3,0,387.5,503.3,446.7,464.9,540,PPI,,450.6,0
Branca,F,< 23,3556206,Privada,3,17,G5,4,30000,738.3,669.3,735,690.4,780,Branca,Privada,708.25,7500
Branca,F,< 23,3551009,Estadual,2,17,G5,4,8800,664.6,597.7,623.5,580.5,420,Branca,Publica,616.575,2200
Branca,F,< 23,,,2,,G1,4,1100,424,366.6,454.1,381.6,0,Branca,Publica,406.575,275
Parda,M,< 23,,,2,2,G2,4,1650,,,,,,PPI,Publica,,412.5
Parda,M,24-30,,,1,9,G2,4,1650,,,,,,PPI,,,412.5
Branca,M,< 23,3550308,Privada,3,12,G2,5,6600,814,569.6,674.7,724.5,760,Branca,Privada,695.7,1320
Branca,F,< 23,3529401,Estadual,2,9,G2,6,3300,,,,,,Branca,Publica,,550
Branca,F,< 23,,,1,12,G3,5,7700,404.6,477.4,382.6,426.7,620,Branca,,422.825,1540
Branca,F,< 23,,,1,16,G3,5,6600,,,,,,Branca,,,1320
Branca,M,< 23,,,1,2,NS,3,2750,463.1,395.4,442.7,398.6,840,Branca,,424.95,916.666666666667
Parda,M,< 23,,,1,12,G2,3,1650,584.1,468.2,595.5,505,580,PPI,,538.2,550
Parda,F,< 23,3505708,Municipal,2,2,G3,3,1650,,,,,,PPI,Publica,,550
Parda,F,< 23,,,3,17,G3,2,2750,416.1,498.2,451.7,410.1,720,PPI,Privada,444.025,1375
Branca,M,< 23,3526209,Privada,3,12,G4,3,2750,,,,,,Branca,Privada,,916.666666666667
Preta,F,< 23,3551009,Estadual,2,,G3,5,1100,,,,,,PPI,Publica,,220
Branca,F,< 23,3504008,Estadual,2,2,G3,2,3300,427.5,558.8,507.5,549.6,560,Branca,Publica,510.85,1650
Branca,M,< 23,,,1,12,G5,4,2750,,,,,,Branca,,,687.5
Branca,F,< 23,,,1,2,NS,5,1100,397.7,434.3,448.6,495.3,540,Branca,,443.975,220
Branca,F,< 23,,,1,17,G4,4,16500,679.8,535.3,622.8,655.9,860,Branca,,623.45,4125
Parda,M,24-30,,,1,12,G1,3,1100,650.5,574.8,448.3,553,760,PPI,,556.65,366.666666666667
Branca,F,< 23,,,1,2,G2,4,1100,,,,,,Branca,,,275
Parda,F,< 23,,,1,16,G3,4,1100,606.3,435.6,528.4,451.1,700,PPI,,505.35,275
Branca,F,< 23,,,1,2,G2,2,2200,510.6,446,528.9,456.2,520,Branca,,485.425,1100
Preta,F,< 23,,,1,17,G3,3,6600,608,533.6,412.6,473.5,840,PPI,,506.925,2200
Branca,M,< 23,,,1,5,NS,6,9900,,,,,,Branca,,,1650
Branca,M,< 23,,,1,5,G4,4,4400,697.1,607.6,575.8,594.1,880,Branca,,618.65,1100
Branca,M,< 23,3550308,Privada,3,17,G5,3,22000,734.5,571.8,620.5,644.9,660,Branca,Privada,642.925,7333.33333333333
Parda,F,< 23,,,2,2,G2,6,1650,,,,,,PPI,Publica,,275
Parda,F,31-50,,,1,2,G1,2,1650,,,,,,PPI,,,825
Branca,F,< 23,,,1,12,G3,4,4400,456.4,497.9,460.2,522.9,740,Branca,,484.35,1100
Branca,M,24-30,,,1,12,G2,6,5500,560.2,569.6,587,563.2,460,Branca,,570,916.666666666667
