UF,Capital,nPessoas,sexo,idad,raca,educ,anosEst,ocup,cnae,rendOcup,rendEfet,classeOcup1,classeOcup2,peso,ln_rendaOcup,experiencia,ano
São Paulo,,5,Mulher,46,Branca,Fundamental incompleto ou equivalente,9,3332,82003,150000,140000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Técnicos e profissionais de nível médio,1657.74325572,11.9183905730784,31,2023
São Paulo,Município de São Paulo (SP),4,Homem,56,Branca,Superior completo,17,2212,48075,120000,120000,"Comércio, reparação de veículos automotores e motocicletas",Profissionais das ciências e intelectuais,1151.38832898,11.6952470217642,33,2023
São Paulo,Município de São Paulo (SP),5,Homem,48,Branca,Superior completo,17,2611,69000,100001,15000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,1109.09618733,11.5129354649202,25,2023
São Paulo,Município de São Paulo (SP),2,Homem,61,Branca,Médio completo ou equivalente,13,1420,48042,1e+05,12000,"Comércio, reparação de veículos automotores e motocicletas",Diretores e gerentes,1216.3335221,11.5129254649702,42,2023
São Paulo,Município de São Paulo (SP),1,Homem,43,Parda,Médio completo ou equivalente,13,1321,18000,1e+05,17000,Indústria geral,Diretores e gerentes,1171.90047682,11.5129254649702,24,2023
São Paulo,Município de São Paulo (SP),3,Homem,34,Branca,Superior completo,17,2654,90000,1e+05,2e+05,Outros Serviços,Profissionais das ciências e intelectuais,1475.0453545,11.5129254649702,11,2023
São Paulo,Município de São Paulo (SP),4,Homem,54,Branca,Superior completo,17,1120,42000,90000,90000,Construção,Diretores e gerentes,2121.04537785,11.4075649493124,31,2023
São Paulo,Município de São Paulo (SP),4,Homem,42,Branca,Superior completo,17,1349,69000,80000,80000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,1433.64716454,11.289781913656,19,2023
São Paulo,,4,Homem,55,Branca,Superior completo,17,2421,65000,80000,120000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,827.2436131,11.289781913656,32,2023
São Paulo,,2,Homem,58,Branca,Médio completo ou equivalente,13,2656,60001,80000,80000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,867.54971776,11.289781913656,39,2023
São Paulo,Município de São Paulo (SP),4,Homem,48,Branca,Superior completo,15,1211,66001,75000,75000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,2079.69088598,11.2252433925184,27,2023
São Paulo,,2,Homem,42,Branca,Superior completo,17,1120,68000,75000,81000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,1573.46396364,11.2252433925184,19,2023
São Paulo,Município de São Paulo (SP),2,Homem,55,Branca,Superior completo,17,1211,71000,70000,70000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,1218.25507833,11.1562505210315,32,2023
São Paulo,Município de São Paulo (SP),4,Mulher,45,Branca,Superior completo,17,1120,64000,70000,140000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,1424.66081722,11.1562505210315,22,2023
São Paulo,Município de São Paulo (SP),2,Homem,33,Branca,Superior completo,17,1211,82001,70000,120000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,2492.39148876,11.1562505210315,10,2023
São Paulo,Município de São Paulo (SP),4,Homem,54,Branca,Superior completo,17,3321,65000,60000,60000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Técnicos e profissionais de nível médio,2079.47405578,11.0020998412042,31,2023
São Paulo,Município de São Paulo (SP),5,Homem,53,Branca,Superior completo,17,2413,66001,60000,60000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,2182.4950233,11.0020998412042,30,2023
São Paulo,,5,Homem,38,Branca,Superior completo,17,1346,64000,60000,60000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,892.67055854,11.0020998412042,15,2023
São Paulo,,3,Homem,60,Branca,Superior completo,17,6111,01112,60000,60000,"Agricultura, pecuária, produção florestal, pesca e aquicultura","Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca",345.75557208,11.0020998412042,37,2023
